first_name;last_name;candidate_number;party;municipality;expense_type;expense_sum;advance
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;television;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;web;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;other_media;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;outdoors_ads;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;print_ads;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;planning;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;rallies;40.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;paid_income;0.0;True
Kaisa;Piironen;26;Vihreä liitto;Kirkkonummi;other;0.0;True
Jens;Gellin;9;Vihreä liitto;Kirkkonummi;total;400.0;True
Jens;Gellin;9;Vihreä liitto;Kirkkonummi;outdoors_ads;400.0;True
Minna;Hakapää;10;Vihreä liitto;Kirkkonummi;total;80.0;True
Minna;Hakapää;10;Vihreä liitto;Kirkkonummi;printed_media;50.0;True
Minna;Hakapää;10;Vihreä liitto;Kirkkonummi;print_ads;30.0;True
Mari;Saario;107;Vihreä liitto;Kaarina;total;400.0;True
Mari;Saario;107;Vihreä liitto;Kaarina;print_ads;400.0;True
Aaro;Kiuru;96;Vihreä liitto;Kaarina;total;300.0;True
Aaro;Kiuru;96;Vihreä liitto;Kaarina;print_ads;300.0;True
Ari;Hyvärinen;571;Vihreä liitto;Tampere;total;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;total;160.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;printed_media;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;radio;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;television;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;web;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;other_media;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;outdoors_ads;0.0;True
Simón;Riestra Aedo;620;Vihreä liitto;Tampere;print_ads;0.0;True
